               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11541,              0.0288,            0.040572,           0.0013661,                0.25,           0.0041545,           0.0010205,            0.036305,            0.021431,            0.016284,              0.0991,              0.0001,              0.0001
                   1,             0.10431,            0.027898,            0.046328,          0.00073892,                0.25,           0.0038498,          0.00091102,            0.035764,            0.021114,            0.016296,            0.097299,          0.00029901,          0.00029901
                   2,             0.12402,            0.028298,            0.041344,          0.00085298,             0.33333,           0.0021187,          0.00074043,            0.034489,            0.020584,            0.016296,            0.095497,           0.0004967,           0.0004967
                   3,             0.10893,            0.029116,            0.048563,          0.00085325,             0.33333,           0.0019987,           0.0006914,             0.03293,            0.020027,            0.016272,            0.093693,          0.00069307,          0.00069307
                   4,            0.095687,            0.027133,             0.04291,           0.0017284,             0.52083,           0.0031391,           0.0011731,            0.029842,            0.019253,            0.016309,            0.091888,          0.00088812,          0.00088812
                   5,             0.08368,            0.027477,            0.044522,            0.001784,             0.60417,           0.0036691,           0.0013469,            0.025635,            0.018547,            0.016357,            0.090082,           0.0010819,           0.0010819
                   6,            0.074994,            0.030255,            0.041866,            0.002005,             0.66667,           0.0093708,           0.0028874,            0.021322,            0.017424,            0.016333,            0.088274,           0.0012743,           0.0012743
                   7,            0.072559,            0.030732,            0.039633,           0.0031853,               0.875,            0.031276,           0.0075399,            0.018994,            0.016205,            0.016162,            0.086465,           0.0014653,           0.0014653
                   8,             0.08323,            0.030335,            0.040566,           0.0036836,             0.91667,            0.047653,            0.012769,             0.01835,            0.015295,            0.015991,            0.084655,           0.0016551,           0.0016551
                   9,            0.053081,            0.025591,            0.030438,            0.003611,                   1,             0.10867,            0.042525,            0.014272,            0.014677,            0.015967,            0.082844,           0.0018436,           0.0018436
                  10,            0.053605,            0.026423,            0.031417,           0.0033922,                   1,             0.19611,            0.059705,              0.0145,             0.01316,            0.015503,            0.081031,           0.0020307,           0.0020307
                  11,            0.062758,             0.02721,            0.037032,           0.0033658,                   1,              0.3094,             0.12088,            0.015665,            0.012331,            0.015027,            0.079217,           0.0022165,           0.0022165
                  12,            0.051172,            0.025758,            0.032623,           0.0033333,                   1,             0.37204,             0.14057,            0.014108,            0.011975,            0.014819,            0.077401,            0.002401,            0.002401
                  13,            0.070277,            0.023731,             0.05471,            0.041731,             0.83333,             0.45212,             0.21915,            0.012192,            0.011633,            0.014612,            0.075584,           0.0025842,           0.0025842
                  14,             0.06759,            0.024915,            0.038186,             0.17866,             0.83333,             0.45902,             0.18033,            0.013766,            0.010979,             0.01438,            0.073766,            0.002766,            0.002766
                  15,            0.047822,            0.025876,            0.032985,             0.44168,             0.29716,             0.37645,             0.16653,            0.016415,            0.010201,            0.014124,            0.071947,           0.0029465,           0.0029465
                  16,            0.061966,            0.024907,            0.041038,              0.2397,             0.66798,             0.46549,             0.18261,             0.01371,            0.010027,            0.014197,            0.070126,           0.0031258,           0.0031258
                  17,             0.03228,            0.021479,            0.027915,            0.081463,             0.66667,             0.17916,            0.094769,            0.023696,            0.009254,            0.014368,            0.068304,           0.0033037,           0.0033037
                  18,            0.037312,            0.019608,            0.028012,             0.10153,             0.66667,              0.2147,             0.08065,            0.024404,           0.0082271,            0.014075,             0.06648,           0.0034802,           0.0034802
                  19,            0.046815,            0.019666,            0.036363,             0.32249,             0.33804,             0.16682,            0.071254,            0.026051,           0.0073366,            0.014209,            0.064655,           0.0036555,           0.0036555
                  20,            0.051609,            0.021439,            0.035798,             0.37828,             0.41667,             0.40968,             0.18715,            0.014232,           0.0067744,            0.014014,            0.062829,           0.0038294,           0.0038294
                  21,             0.06066,            0.021695,            0.036223,             0.47298,             0.41667,             0.55249,             0.30596,            0.011363,           0.0062346,            0.013879,            0.061002,            0.004002,            0.004002
                  22,            0.042627,            0.018634,            0.040306,            0.098443,             0.54167,             0.33249,             0.15195,             0.02952,           0.0057225,             0.01394,            0.059173,           0.0041733,           0.0041733
                  23,            0.044712,            0.015325,            0.036287,             0.41898,             0.59145,             0.45294,             0.16049,            0.022873,           0.0053282,             0.01355,            0.057343,           0.0043433,           0.0043433
                  24,            0.062627,            0.017013,            0.036445,             0.45532,             0.66667,             0.51174,             0.21694,            0.019373,           0.0055673,            0.013538,            0.055512,           0.0045119,           0.0045119
                  25,            0.052772,            0.016683,            0.030027,             0.37834,                0.75,             0.48772,             0.21753,            0.024781,           0.0051231,            0.013574,            0.053679,           0.0046793,           0.0046793
                  26,            0.053231,            0.017663,            0.039598,             0.38872,                0.75,             0.57169,              0.3186,            0.012855,           0.0057399,            0.013354,            0.051845,           0.0048453,           0.0048453
                  27,            0.050067,            0.016165,            0.041174,             0.33109,             0.77083,             0.60526,             0.35588,            0.014819,           0.0055506,            0.013354,             0.05001,             0.00501,             0.00501
                  28,            0.033144,            0.017081,            0.034139,             0.30833,             0.72057,             0.50143,             0.34019,            0.015917,           0.0055542,            0.013403,            0.048173,           0.0051733,           0.0051733
                  29,            0.045104,            0.016495,            0.026824,             0.25988,             0.81642,             0.54965,             0.34829,            0.014258,           0.0056951,            0.013147,            0.046335,           0.0053354,           0.0053354
                  30,            0.047127,            0.017079,            0.042041,             0.30793,             0.83333,             0.52559,             0.35983,            0.010544,           0.0057569,            0.013123,            0.044496,           0.0054961,           0.0054961
                  31,            0.038394,            0.016889,            0.034517,              0.3398,             0.83333,             0.45945,             0.29691,            0.018384,           0.0053864,            0.013232,            0.042656,           0.0056555,           0.0056555
                  32,            0.053312,             0.01453,            0.038757,             0.44598,             0.70833,             0.60315,             0.26419,            0.014878,           0.0054731,            0.013135,            0.040814,           0.0058136,           0.0058136
                  33,             0.04089,            0.014575,            0.032981,             0.39859,             0.56379,             0.64129,             0.26946,            0.022755,           0.0047629,             0.01283,             0.03897,           0.0059704,           0.0059704
                  34,            0.048084,            0.011882,            0.028049,             0.61149,             0.52098,             0.67656,             0.40131,            0.014015,           0.0050755,            0.012524,            0.037126,           0.0061258,           0.0061258
                  35,            0.048682,            0.015157,            0.039465,             0.24063,             0.58333,             0.58219,             0.33392,            0.014306,            0.005022,            0.012891,             0.03528,             0.00628,             0.00628
                  36,            0.056922,            0.016923,            0.037926,             0.24923,             0.58333,             0.60075,             0.35287,           0.0094715,           0.0051448,            0.012793,            0.033433,           0.0064328,           0.0064328
                  37,            0.041605,            0.013519,            0.033437,             0.23851,                0.75,             0.53979,             0.31868,            0.021734,           0.0042512,            0.012573,            0.031584,           0.0065842,           0.0065842
                  38,            0.050628,            0.013892,             0.02535,             0.49304,             0.64483,             0.62483,             0.34401,            0.022143,           0.0042415,            0.012115,            0.029734,           0.0067344,           0.0067344
                  39,            0.054702,             0.01399,            0.033481,             0.85265,               0.442,              0.5451,             0.19426,            0.025876,           0.0041025,            0.011847,            0.027883,           0.0068833,           0.0068833
                  40,             0.03656,             0.01239,            0.023097,             0.33648,                0.75,             0.67173,             0.43156,             0.01821,           0.0043702,            0.011237,            0.026031,           0.0070308,           0.0070308
                  41,             0.03215,            0.013129,            0.024437,             0.31161,             0.83333,             0.52997,             0.15567,            0.022264,           0.0044067,            0.011023,            0.024177,            0.007177,            0.007177
                  42,            0.036421,            0.012869,            0.023137,             0.54884,                0.75,             0.68189,             0.33813,            0.013774,           0.0049188,            0.010645,            0.022322,           0.0073219,           0.0073219
                  43,            0.054323,            0.014961,            0.035374,             0.62249,             0.74921,             0.74526,             0.42683,            0.012212,           0.0045967,            0.010248,            0.020465,           0.0074655,           0.0074655
                  44,            0.024067,            0.014908,            0.022132,             0.34972,             0.58333,             0.54015,             0.17439,            0.025094,           0.0045278,           0.0096619,            0.018608,           0.0076077,           0.0076077
                  45,             0.07933,             0.01088,            0.029057,             0.69447,             0.79715,             0.85188,             0.51582,            0.014419,           0.0041869,            0.009314,            0.016749,           0.0077486,           0.0077486
                  46,            0.044301,            0.010406,            0.024372,             0.54523,             0.80263,             0.79633,             0.31954,            0.025203,           0.0040951,           0.0090515,            0.014888,           0.0078883,           0.0078883
                  47,             0.04269,            0.012275,            0.033849,             0.50664,              0.9277,             0.89875,             0.54295,            0.010747,           0.0038204,           0.0091553,            0.013027,           0.0080266,           0.0080266
                  48,            0.031197,            0.013678,            0.021786,             0.51522,             0.91667,             0.86813,             0.49265,            0.013833,           0.0036457,           0.0085999,            0.011164,           0.0081635,           0.0081635
                  49,             0.02984,            0.011728,            0.019918,             0.50637,             0.91667,             0.82594,             0.47107,            0.024069,           0.0033689,           0.0084106,           0.0092992,           0.0082992,           0.0082992
                  50,            0.059263,            0.011008,            0.030658,               0.566,             0.87805,             0.89146,             0.37938,              0.0281,           0.0035899,           0.0085266,             0.00835,             0.00835,             0.00835
                  51,            0.064195,            0.011193,             0.03427,             0.54991,             0.83333,             0.87271,             0.37207,            0.027487,           0.0032711,           0.0083862,             0.00835,             0.00835,             0.00835
                  52,            0.033514,            0.012506,            0.017601,             0.56952,             0.90666,             0.67322,             0.31541,            0.028172,           0.0028665,           0.0091736,            0.008317,            0.008317,            0.008317
                  53,            0.039829,            0.010485,            0.017648,             0.59806,                0.75,             0.79521,             0.40168,            0.021525,           0.0028343,           0.0077881,            0.008284,            0.008284,            0.008284
                  54,            0.036609,            0.010638,            0.025592,             0.66619,             0.89009,             0.87231,              0.5064,            0.018756,            0.002847,            0.007074,            0.008251,            0.008251,            0.008251
                  55,             0.03862,            0.011453,            0.021371,             0.59498,             0.83454,              0.7765,             0.40503,            0.020095,           0.0030495,           0.0074402,            0.008218,            0.008218,            0.008218
                  56,            0.040774,            0.010647,            0.020649,             0.59669,             0.90598,             0.76542,             0.50707,            0.014614,           0.0031962,           0.0072327,            0.008185,            0.008185,            0.008185
                  57,            0.046666,            0.013662,            0.030805,             0.60394,             0.85135,              0.7765,             0.56084,             0.01088,           0.0037357,           0.0072205,            0.008152,            0.008152,            0.008152
                  58,            0.036823,            0.011019,            0.015769,             0.76065,             0.86286,             0.87908,             0.59468,            0.014976,           0.0037992,           0.0062622,            0.008119,            0.008119,            0.008119
                  59,            0.046492,            0.011028,             0.01559,             0.86329,             0.87783,             0.97438,             0.51992,            0.013705,            0.004035,           0.0057098,            0.008086,            0.008086,            0.008086
                  60,            0.033126,            0.010597,              0.0173,             0.86632,             0.81271,               0.929,             0.65797,            0.012487,             0.00367,           0.0054657,            0.008053,            0.008053,            0.008053
                  61,             0.06235,            0.010208,            0.021302,             0.85683,             0.82444,               0.929,             0.71504,            0.012842,           0.0034499,           0.0048187,             0.00802,             0.00802,             0.00802
                  62,            0.038855,            0.011704,             0.04324,             0.72906,              0.9629,             0.92075,              0.7442,            0.011244,           0.0035157,           0.0050476,            0.007987,            0.007987,            0.007987
                  63,            0.031947,            0.010577,             0.02534,             0.87522,             0.81013,             0.97438,             0.67775,             0.01279,           0.0042176,           0.0047974,            0.007954,            0.007954,            0.007954
